"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Andy Wilkins","White Sox","8","35","32","8","2","0","1","4","4","2","8","0","0","0",".240",".290",".428",".718",".314","0.0","0.0","0.0","11251"
"Darin Ruf","Phillies","96","405","361","86","19","1","12","43","43","32","107","6","2","1",".238",".309",".399",".708",".314","-1.5","-0.4","0.5","9929"
"Nick Swisher","Indians","112","469","410","95","21","1","13","49","52","51","117","2","1","1",".231",".317",".384",".701",".313","-0.1","-0.5","0.5","4599"
"Ryan Howard","Phillies","108","455","403","93","16","1","18","49","66","42","135","5","0","0",".230",".307",".407",".715",".313","-3.1","-0.4","0.0","2154"
"Maikel Franco","Phillies","119","500","473","119","25","3","18","59","60","20","79","3","2","2",".251",".283",".428",".711",".311","-0.4","-0.5","1.1","12179"
"James Loney","Rays","125","525","482","132","24","0","9","49","54","35","67","2","2","1",".273",".323",".378",".701",".310","3.4","-0.4","1.3","4556"
"Chris Colabello","Blue Jays","25","105","96","22","5","0","4","12","14","7","29","1","0","0",".234",".292",".411",".703",".310","-0.2","-0.1","0.1","13051"
"Christian Walker","Orioles","25","105","97","24","4","0","4","11","12","6","25","1","0","0",".247",".297",".403",".700",".309","-0.1","-0.1","0.0","13419"
"Christian Walker","Orioles","25","105","97","24","4","0","4","11","12","6","25","1","0","0",".247",".297",".403",".700",".309","-0.1","-0.1","0.0","13419"
"Shane Peterson","Brewers","17","70","62","15","3","0","1","8","7","6","17","0","1","0",".244",".316",".377",".693",".309","-0.5","0.0","0.0","7423"
"Josh Satin","Reds","15","65","57","14","3","0","1","7","6","7","15","0","0","0",".241",".322",".365",".687",".309","-0.2","-0.1","0.1","6788"
"Stephen Vogt","Athletics","107","448","414","106","20","3","11","46","50","28","67","1","1","1",".255",".303",".398",".701",".308","-1.2","-0.5","2.3","5000"
"Jason Rogers","Brewers","8","35","32","8","1","0","1","4","4","3","7","0","0","0",".244",".302",".392",".694",".307","-0.5","0.0","0.0","11773"
"Nate Freiman","Athletics","17","70","64","15","3","0","2","7","9","5","15","1","0","0",".239",".298",".398",".695",".307","0.0","-0.1","0.1","6582"
"Tommy Medica","Padres","51","215","195","45","10","1","7","25","24","15","59","3","2","1",".228",".292",".398",".689",".306","0.2","-0.1","0.4","11147"
"C.J. Cron","Angels","100","420","394","98","19","1","14","43","51","16","84","6","2","2",".248",".285",".408",".694",".305","-0.1","-0.5","0.3","12546"
"Jake Goebbert","Padres","17","70","62","14","3","1","2","8","7","7","15","1","1","0",".228",".306",".379",".685",".304","0.1","-0.1","0.1","9431"
"Justin Bour","Marlins","44","185","169","42","9","0","5","19","21","13","37","1","1","1",".249",".304",".387",".691",".302","0.1","-0.2","0.1","9744"
"Eric Campbell","Mets","62","260","230","56","11","1","4","26","24","24","53","3","4","2",".243",".319",".349",".669",".302","0.0","-0.1","0.6","6938"
"Jeff Baker","Marlins","60","250","231","58","12","2","5","26","28","15","59","1","2","1",".251",".299",".386",".685",".302","-1.1","-0.1","0.2","2073"
"Xavier Scruggs","Cardinals","8","35","31","7","1","0","1","4","4","3","10","1","0","0",".220",".296",".374",".670",".300","-0.1","-0.1","0.0","7409"
"Joey Terdoslavich","Braves","27","115","106","26","5","0","3","12","12","8","27","0","1","1",".243",".296",".383",".679",".300","-0.4","-0.2","0.1","10593"
"Lyle Overbay"," ","83","350","314","74","17","1","8","32","42","31","77","1","2","1",".234",".304",".365",".669",".298","-0.4","-0.1","-0.2","1617"
"Ryan Rua","Rangers","108","455","419","100","19","2","12","47","47","27","100","5","5","2",".240",".293",".378",".671",".298","-0.4","-0.2","0.0","12409"
"Jesus Aguilar","Indians","8","35","32","7","2","0","1","4","4","3","9","0","0","0",".233",".295",".375",".670",".297","0.1","0.0","0.0","11342"
"Adam Duvall","Giants","13","56","52","12","2","0","2","6","6","3","13","1","0","0",".224",".276",".384",".660",".292","-0.5","0.0","0.0","10950"
"Travis Ishikawa","Giants","17","70","63","15","3","0","1","6","7","5","18","1","0","0",".232",".299",".352",".651",".290","-0.1","-0.1","0.0","4793"
"Kevin Frandsen","Nationals","44","185","172","46","8","1","1","17","16","6","19","5","1","1",".266",".305",".344",".649",".290","-0.4","-0.3","0.0","7528"
"Adam Rosales","Rangers","53","224","205","48","9","1","4","23","21","14","49","2","2","1",".235",".290",".351",".641",".287","-0.2","-0.2","0.2","9682"
"Ryan Wheeler","Rockies","11","45","42","10","2","0","1","4","5","2","10","0","0","0",".243",".284",".363",".646",".285","0.0","-0.1","-0.1","9312"
"Brayan Pena","Reds","75","314","294","74","14","1","5","25","28","14","36","1","2","2",".253",".288",".354",".642",".284","-1.0","-0.6","0.0","3231"
"Efren Navarro","Angels","17","70","64","15","3","0","1","7","6","5","13","0","1","0",".241",".297",".332",".629",".281","0.1","-0.1","-0.1","9854"
"Jordan Pacheco","Diamondbacks","33","138","129","32","7","1","1","11","12","7","20","1","1","1",".250",".291",".338",".629",".280","-1.3","-0.1","-0.1","2677"
